ID_LAT_LON_YEAR_WEEK,emission
ID_-0.510_29.290_2022_00,3.5784414756828835
ID_-0.510_29.290_2022_01,3.9981303730413402
ID_-0.510_29.290_2022_02,4.1771849217003485
ID_-0.510_29.290_2022_03,4.167425834135074
ID_-0.510_29.290_2022_04,4.3800769394481005
ID_-0.510_29.290_2022_05,4.410262756274531
ID_-0.510_29.290_2022_06,4.3463097813783325
ID_-0.510_29.290_2022_07,4.09362850091791
ID_-0.510_29.290_2022_08,4.018802391236918
ID_-0.510_29.290_2022_09,4.302843149744851
ID_-0.510_29.290_2022_10,4.270851578005358
ID_-0.510_29.290_2022_11,4.317105618673071
ID_-0.510_29.290_2022_12,4.1172284571914535
ID_-0.510_29.290_2022_13,3.856637926454841
ID_-0.510_29.290_2022_14,3.797459784131572
ID_-0.510_29.290_2022_15,4.28534436054106
ID_-0.510_29.290_2022_16,5.139314006449848
ID_-0.510_29.290_2022_17,3.6443231773693365
ID_-0.510_29.290_2022_18,3.965504068998715
ID_-0.510_29.290_2022_19,4.320294070260738
ID_-0.510_29.290_2022_20,4.116160669405891
ID_-0.510_29.290_2022_21,4.0469318889832
ID_-0.510_29.290_2022_22,3.939017814308069
ID_-0.510_29.290_2022_23,4.4469879194369275
ID_-0.510_29.290_2022_24,4.514901986699243
ID_-0.510_29.290_2022_25,4.606638330934449
ID_-0.510_29.290_2022_26,4.962332513883326
ID_-0.510_29.290_2022_27,4.9810316146255
ID_-0.510_29.290_2022_28,4.635417209948765
ID_-0.510_29.290_2022_29,4.97940703390265
ID_-0.510_29.290_2022_30,5.16723866196399
ID_-0.510_29.290_2022_31,4.6990880931385774
ID_-0.510_29.290_2022_32,5.29408420060817
ID_-0.510_29.290_2022_33,5.1353765293096405
ID_-0.510_29.290_2022_34,5.129021755225367
ID_-0.510_29.290_2022_35,4.749327977419371
ID_-0.510_29.290_2022_36,5.112851912533453
ID_-0.510_29.290_2022_37,4.990208538635215
ID_-0.510_29.290_2022_38,4.78747785070397
ID_-0.510_29.290_2022_39,5.120493593086583
ID_-0.510_29.290_2022_40,4.774278375739909
ID_-0.510_29.290_2022_41,4.963072483052097
ID_-0.510_29.290_2022_42,5.18831738816913
ID_-0.510_29.290_2022_43,5.4515063041680065
ID_-0.510_29.290_2022_44,5.75709584301719
